"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-10","54","64","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-11","55","68","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-12","55","66","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-13","55","61","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-14","56","69","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-15","56","65","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-16","54","60","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-17","54","62","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-18","58","76","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-19","56","63","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-20","55","60","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-21","56","64","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-22","55","62","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-23","56","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-24","56","66","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-25","56","60","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-26","55","62","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-27","56","70","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-28","61","83","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-29","59","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04-30","57","62","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-01","56","61","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-02","57","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-03","60","77","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-04","62","72","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-05","59","70","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-06","55","64","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-07","57","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-08","61","79","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-09","63","76","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-10","62","84","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-11","62","72","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-12","57","68","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-13","57","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-14","55","61","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05-15","55","64","52"
